"aktivitas_neve","modszercsalad","tantargy","evfolyam","kompetenciak","konkret_playbook","tanari_facilitacio","tanuloi_dontesi_pont","lathato_evidence","ertekelesi_rubrika","low_resource_valtozat","evidence_szint","forrasok","lecke_ai_tamogatasi_lehetoseg","pilotkockazat"
"Algebrai mintázat produktív kudarccal","Produktív kudarc","Matematika","7-10","kritikai gondolkodás; kreativitás; önszabályozás; új érték teremtése","A tanulók párban 12 percig saját szabályt keresnek egy nem triviális mintázatra, legalább két hibás vagy részleges stratégiát is rögzítenek, majd a tanár ezekből indítja az általános képlet és reprezentációváltás magyarázatát.","Olyan példasort ad, amely elérhető de nem rutin; gyűjti a tipikus stratégiatípusokat; a magyarazatban a tanulói próbálkozásokra hivatkozik.","Melyik reprezentáció alapján próbálják megfogni a mintazatot: táblázat, rajz, szöveges szabály vagy algebrai jelölés.","Stratégiakártyák, részleges megoldasok, javított képlet, rövid reflexió arról, melyik estrategia miért működött vagy bukott el.","4 szint: problémaértelmezés, stratégiadiverzitás, fogalmi kapcsolat, revízió pontossága.","Tankönyvi feladatsorból választott 3 mintázat, papír alapú stratégiatábla, szavazás kézzel.","A","2026-05-21 forráscsomag: Sinha-Kapur productive failure; EEF matematika; OECD CERI","Feladatbankbol megfelelő előkövetelményű produktív kudarc helyzetet javasol, tanári lezáró magyarázatvázlatot és strategiarubrikat készít.","Túl nehéz probléma esetén frusztráció; túl könnyű probléma esetén nincs produktív kudarc."
"Statisztikai mérőszámok adatvitával","Produktív kudarc","Matematika","8-11","kritikai gondolkodás; kommunikáció; önszabályozás; feszültségek összehangolása","Kis csoportok ugyanarra az osztalytermi vagy települési adathalmazra döntenek, melyik átlag vagy szórás-jellegű mutató képviseli igazságosan az állítást, majd a tanár a választott és hibás mutatokbol vezeti be a fogalmi különbségeket.","Eltérő eloszlasu mini-adatokat ad; provokálja a 'melyik mutató fair' vitát; a végső magyarazatot a tanulói dontesekre építi.","Melyik mutatot választják döntési alapnak, és mit tekintenek igazságos összefoglalásnak.","Indokolt mutatóválasztás, ellenpélda, javított adatvizualizáció, exit ticket a meroszam korlátáról.","4 szint: adattisztaság, mutatóindoklás, ellenpélda-használat, fogalmi revízió.","Kivetítő nélkül nyomtatott 20 soros adatkártyák és vonaldiagram papirra.","A","2026-05-21 forráscsomag: Sinha-Kapur productive failure; EEF matematika","Valós vagy szimulált adatsorokat generál, tanári kérdéseket ad a hibás következtetések felszínre hozásához, rubrikát készít.","Adatkezelési nehézség; személyes adatoknál anonimizálás kell."
"Okosabb merleg: többmegoldású problémakonferencia","Strukturált kollaboratív problémamegoldás","Matematika","5-8","kollaboráció; kommunikáció; kritikai gondolkodás; karakter","Három különböző megoldási utat igénylő problémán dolgoznak 3-4 fős csoportok. Minden csoport egy megoldástípust vállal, majd megoldáskonferencián más csoportok kérdései alapján javítja a saját érvelését.","Szerepeket oszt: stratéga, ellenőr, magyarázó, kérdező; időkeretet és döntési pontokat ad; figyel arra, hogy minden tanuló vallaljon egy részindoklást.","Melyik megoldási utat tekintik leghatekonyabbnak és miért.","Megoldásposzter, kérdéslista, javított indoklás, egyéni szerepreflexió.","4 szint: matematikai helyesség, stratégiaösszehasonlítás, kérdésminőség, egyéni hozzájárulás.","Egyetlen feladat, A4-és lapok, színes ceruza, tanári időmérő.","A","2026-05-21 forráscsomag: collaborative problem solving meta-analysis; EEF collaborative learning","Csoportszerep-kártyákat, megoldaskonferencia-menetrendet és tanári megfigyelési lapot ad.","Csoporton belüli egyenlotlen részvétel; ezt egyéni exit tickettel kell kezelni."
"Metakognitív problémanapló","Metakognitív önszabályozás","Matematika","5-10","önszabályozás; kritikai gondolkodás; karakter","Minden összetett feladatnál a tanuló kitölt egy rövid ciklust: mit tudok, mi a tervem, hol akadtam el, milyen stratégiát váltok, mit tanultam a megoldásból. A tanár heti egyszer közösen modellez egy naplóbejegyzést.","Nem a kész megoldást dicséri, hanem a stratégiaazonosítást; gondolkodj hangosan mintat ad; a naplókból két tipikus elakadást választ kozos feldolgozásra.","Mikor vált stratégiát és milyen bizonyíték alapján dönti el, hogy a váltás indokolt.","Problémanapló, stratégiacímkék, javított megoldás, tanulói önértékelés.","4 szint: célazonosítás, monitorozás, stratégiaadaptáció, reflexió pontossága.","Füzetbe rajzolt négymezős sablon, heti 5 perces zárókör.","A","2026-05-21 forráscsomag: EEF metacognition; EEF matematika","Sablonokat és tanári modellezőmondatokat készít, jelzi a gyakori elakadási mintakat.","Ha túl hosszu, adminisztrációvá válik; mikroformatum kell."
"Buszmenetrend újratervezése","Matematikai modellezés / MEA","Matematika; földrajz","7-10","kreativitás; kritikai gondolkodás; állampolgárság; feszültségek összehangolása","Csoportok helyi közlekedési igényekből modellt készítenek: cél, korlát, adat, feltételezés, javasolt menetrend. Ezután más csoport szerepkártyái alapján stressztesztelik: diák, idős ember, fenntartó, buszvezető.","Valószerű, de egyszerűsített adatcsomagot ad; segít elkülöníteni adatot és feltételezést; a végén a modell korlátait kéri számon.","Mely érdeket optimalizálják és melyik kompromisszumot vállalják fel.","Modell-lap, feltételezéslista, térképszerű ábrázolás, kompromisszum-indoklás.","4 szint: modellváltozók, adat-feltételezés szétválasztása, kompromisszumminőség, kommunikáció.","Fiktív buszhálózat 8 megállóval papír alapon.","B","2026-05-21 forráscsomag: OECD Learning Compass; EEF matematika; PBL scaffolding","Adatcsomagokat és szerepkartyakat generál, rubrikát és differenciált modellezesi segítséget ad.","Túl sok adat elviheti informatikai feladatba; kezdetben kis adatkészlet kell."
"Arányosság a konyhában: receptskála challenge","Design challenge; matematikai modellezés","Matematika","5-7","kreativitás; kritikai gondolkodás; kommunikáció","Csoportok egy receptet skáláznak különböző létszámra és költségkeretre, majd megvédik, mely mennyiségeket lehet lineárisan növelni és melyeket nem.","Korlátokat ad: költség, allergia, adagméret; rákérdez a lineáris arányosság határaira.","Melyik összetevő vagy feltétel nem skálázható egyszerűen és hogyan kezelik.","Skálázott recept, költségtábla, indokolt kivétellista, társas visszajelzés utáni javítás.","4 szint: arányosság, korlátkezelés, indoklás, revízió.","Iskolai menza vagy fiktív recept papíron, számológép nélkül is futtatható.","B","2026-05-21 forráscsomag: EEF matematika; OECD CERI","Recept- és költségkártyákat, differenciált számokat, gyors rubrikát készít.","Élelmiszer-allergia és kulturális érzékenység; fiktív receptekkel csökkenthető."
"Erő és mozgás ConcepTest ciklus","Peer Instruction","Fizika","9-11","kritikai gondolkodás; kommunikáció; kollaboráció","A tanár egy tévképzetre célzó feleletválasztós fogalmi kérdést ad. Egyéni szavazás, páros magyarázat, újraszavazás, majd rövid tanári lezárás következik. A ciklus 8-12 perc.","Tévképzetdiagnosztikus kérdést választ; nem árulja el korán a választ; a páros vitából mintamondatokat kér be.","Megtartja vagy megváltoztatja-e az első válaszát a társas magyarázat után, és miért.","Első és második szavazás eloszlása, indokláskártya, exit ticket a tévképzetről.","4 szint: fogalmi pontosság, indoklás, társas magyarázat, revízió.","Színes válaszkártyák vagy kézfeltartás digitális szavazás helyett.","A","2026-05-21 forráscsomag: Crouch-Mazur Peer Instruction; Hake; Freeman active STEM","ConcepTest-bankot, tévképzet-címkéket és lezáró magyarázatvázlatot készít.","Rossz kérdés esetén csak kvíz lesz; kell tévképzet-alapú item."
"Elektromos áramkör 5E mini-inquiry","Guided inquiry / 5E","Fizika","7-9","kritikai gondolkodás; kreativitás; önszabályozás","Engage: előrejelzés egy izzó fényerejéről. Explore: csoportok két áramkört építenek. Explain: adatokból szabályt alkotnak. Elaborate: új áramkört terveznek. Evaluate: rövid egyéni magyarázat.","Eszközkészletet és biztonsági keretet ad; kérdésekkel vezet, nem teljes megoldással; a végén fogalmi lezárást ad.","Melyik kapcsolást választják a szabály tesztelésére és milyen változót tartanak állandóan.","Mérési táblázat, áramkörrajz, előrejelzés-javítás, egyéni magyarázat.","4 szint: változókontroll, adatpontosság, szabályalkotás, fogalmi magyarázat.","Szimuláció vagy előre rajzolt áramkörkártyák, ha nincs elég eszköz.","A","2026-05-21 forráscsomag: Furtak inquiry meta-analysis; Freeman active STEM","5E óravázlatot, változókontroll-kérdéseket és biztonsági checklistet ad.","Eszközhiány; low-resource változatot előre kell tervezni."
"Sűrűség Predict-Observe-Explain","POE; guided inquiry","Fizika; kémia","5-8","kritikai gondolkodás; kommunikáció; önszabályozás","A tanulók előrejelzik, mely tárgy süllyed vagy úszik, megfigyelik a kísérletet, majd magyarázatot írnak a téves előrejelzés javításával.","Olyan tárgypárokat választ, amelyek a tömeg-méret tévképzetet provokálják; a magyarázatban a sűrűség fogalmához vezeti vissza a vitát.","Melyik előrejelzésüket tartják meg és melyiket javítják a megfigyelés után.","Előrejelző lap, megfigyelési táblázat, javított magyarázat, társas kérdés.","4 szint: előrejelzés indoklása, megfigyelés pontossága, fogalmi korrekció, kommunikáció.","Otthoni tárgyakkal, vízzel és átlátszó edénnyel futtatható.","B","2026-05-21 forráscsomag: Furtak inquiry meta-analysis; Freeman active STEM","POE-sablont, tévképzetlistát és zárókérdéseket készít.","Ha a tanár túl gyorsan magyaráz, elvész a gondolkodási konfliktus."
"Iskolai energiaaudit","Kollaboratív problémamegoldás; helyalapu inquiry","Fizika; földrajz","7-10","kollaboráció; kritikai gondolkodás; állampolgárság; felelősségvállalás","Csoportok mérési pontokat választanak az iskolában, becsült vagy mért energiahasználati adatokat gyűjtenek, majd költség-hatás-megvalósíthatóság mátrix alapján javaslatot készítenek.","Mérési keretet, biztonsági és hozzáférési szabályokat ad; segít az adatok becslésének jelölésében; a javaslatokat kritériumok szerint vitáztatja.","Mely beavatkozást javasolják elsőként és milyen kompromisszum alapján.","Auditlap, adatforráslista, döntési mátrix, rövid vezetői ajánlás.","4 szint: adatminőség, kompromisszumkezelés, megvalósíthatóság, csapatműködés.","Mért adatok helyett fiktív iskolai energiaadatokkal is futtatható.","A","2026-05-21 forráscsomag: collaborative problem solving meta-analysis; OECD Learning Compass; Geo-Inquiry","Audit-sablont, adatlapot, szerepkártyákat és rubrikát készít; reflektív tanári kérdéseket ajánl.","Valós iskolaüzemeltetési adatok érzékenyek lehetnek; kezdéshez szimulált adat kell."
"Hőszigetelő prototípus","Design challenge","Fizika; integrált természettudomány","7-10","kreativitás; kollaboráció; kritikai gondolkodás; új érték teremtése","Csoportok korlátozott anyagkészletből hőszigetelő dobozt terveznek, mérik a hőmérsékletváltozást, majd kritikakör után egyetlen módosítást hajtanak végre.","Anyagkorlátot és mérési protokollt ad; nem a legszebb tárgyat, hanem a mérhető javítást értékeli.","Melyik tervezési feltételezést tesztelik a prototípusban és mit módosítanak a revízióban.","Prototípus, mérési grafikon, tervezési indoklás, revíziós jegyzet.","4 szint: hipotézis, mérés, prototípuslogika, revízió hatása.","Újrahasznosított papír, alufólia, textil, jég vagy meleg víz mérésével.","C","2026-05-21 forráscsomag: Cooper Hewitt; PBLWorks; OECD CERI; EEF feedback","Anyaglistát, mérési jegyzőkönyvet, kritikakör-szabályokat és rubrikát ad.","Anyagversennyé válhat; szigorú korlátok és mérés kell."
"Energiamodell vita: hol veszik el az energia?","Model-based inquiry","Fizika","9-11","kritikai gondolkodás; kommunikáció; kreativitás","Csoportok ugyanarról a fizikai jelenségről energiamodellt rajzolnak, majd más csoport modelljében keresnek hiányzó energiaátalakulást vagy hibás rendszerhatárt.","Rendszerhatár-fogalmakkal scaffoldol; modellezési jelöléseket ad; a vitát állítás-bizonyíték-indoklás formába tereli.","Milyen rendszerhatárt választanak és hogyan védik meg a modelljüket.","Energiafolyam-ábra, kritikai megjegyzés másik modellhez, javított modell.","4 szint: rendszerhatár, energiaátalakulás, modellkritika, revízió.","Nyomtatott jelenségkártyák és nyilakkal rajzolt ábrák.","B","2026-05-21 forráscsomag: Freeman active STEM; Furtak inquiry; CER/ADI","Jelenségkártyákat, modell-sablont és kritikai kérdéssort készít.","A jelölés túl absztrakt lehet; először egyszerű jelenségek kellenek."
"Ökoszisztéma-adatok guided inquiry-ben","Guided inquiry","Biológia","7-10","kritikai gondolkodás; kreativitás; önszabályozás","A tanulók populációs adatokat kapnak, hipotézist alkotnak egy változás okáról, majd új adatlap alapján módosítják vagy megtartják az állításukat.","Adatokat fokozatosan adagol; rákérdez korreláció és ok-okozat különbségére; segít a bizonytalanság megfogalmazásában.","Melyik magyarázatot tartják legvalószínűbbnek a részleges adatok alapján és mikor változtatnak rajta.","Hipotézislap, adatértelmezés, módosított állítás, bizonytalansági mondat.","4 szint: hipotézis, adathasználat, alternatív magyarázat, revízió.","Valós adat helyett egyszerűsített tanári adatcsomag nyomtatva.","A","2026-05-21 forráscsomag: Furtak inquiry meta-analysis; OECD PISA creative thinking","Adatcsomagokat, hipotézis-sablont és tanári kérdéseket készít.","Korrelációt okként kezelhetik; ezt explicit scaffoldnak kell fognia."
"Vízminőség CER poszter","Argument-driven inquiry / CER","Biológia; földrajz","7-10","kritikai gondolkodás; kommunikáció; állampolgárság","Csoportok vízminőségi adatokból állítást tesznek, bizonyítékot választanak, indoklást írnak, majd galériasétán két másik csoport érveit kritizálják és javítják a saját poszterüket.","CER-struktúrát tanít; adatforrások minőségét jelölteti; a kritika szabályait előre rögzíti.","Mely bizonyítékot tekintik legerősebbnek és mely bizonyítékot hagyják ki.","CER-poszter, peer feedback, javított indoklás, adatforrásjelölés.","4 szint: állítás pontossága, bizonyítékválasztás, indoklás, feedback utáni revízió.","Előre nyomtatott fiktív vízminták és egyszerű ikonok.","B","2026-05-21 forráscsomag: Sampson-Gleim ADI; Furtak inquiry; OECD Learning Compass","CER-sablont, adatlapokat, galériaséta-protokollt és rubrikát készít.","Ha az adat túl bonyolult, a vita technikai részletekbe fullad; egyszerű adat kell."
"Evolucios tevkepeztek Peer Instructionnel","Peer Instruction","Biológia","9-11","kritikai gondolkodás; kommunikáció; önszabályozás","A tanár evolúciós tévképzetre célzó ConcepTestet ad, egyéni válasszal, páros magyarázattal, újraszavazással és rövid fogalmi lezárással.","Kerüli a puszta definíciós kérdéseket; a páros vitában indoklást kér, nem csak választ.","Megtartja vagy módosítja-e a válaszát a társ magyarázata után.","Szavazási változás, indokláskártya, exit ticket a természetes szelekcióról.","4 szint: fogalmi pontosság, indoklás, tévképzet-korrekció, kommunikáció.","Papír válaszkártyák digitális eszköz nélkül.","A","2026-05-21 forráscsomag: Crouch-Mazur; Freeman active STEM; OECD PISA creative thinking","Biológiai ConcepTest-bankot és tévképzetmagyarázatokat készít.","Biológiai tévképzetkérdés írása nehéz; forrásvalidált itemek kellenek."
"CRISPR strukturált akademiai vita","Structured academic controversy; SSI","Biológia; állampolgári nevelés","10-12","kritikai gondolkodás; kommunikáció; állampolgárság; feszültségek összehangolása","Párok ellentétes álláspontot kapnak egy génszerkesztési dilemmára, forráskártyákból érvelnek, majd szerepet cserélnek, végül közös feltételes álláspontot írnak.","Kiegyensúlyozott forráskártyákat ad; tiltja a karikatúra-érvelést; a végső közös álláspontban feltételeket kér.","Mely feltételek mellett támogatnának vagy utasítanának el egy beavatkozást.","Érvtábla, szerepcsere jegyzet, közös feltételes álláspont.","4 szint: forráshasználat, ellenérv megértése, feltételes gondolkodás, tiszteletteljes vita.","Rövid, tanár által készített 6 forráskártya; nincs szükség internetre.","B","2026-05-21 forráscsomag: socioscientific issues review; OECD Learning Compass; structured controversy","Forráskártyákat, szerepcsere-protokollt és vitavezető kérdéseket készít.","Érzékeny téma; tanári moderáció és forráskiegyensúlyozás kell."
"Biodiverzitas mini-expedicio","Learning expedition; place-based inquiry","Biológia; földrajz","5-8","kreativitás; állampolgárság; kollaboráció; felelősségvállalás","A tanulók az iskola környékén élőhelynyomokat gyűjtenek, kérdést fogalmaznak meg, terepi adatot rögzítenek, majd javaslatot készítenek egy mikroélőhely javítására.","Biztonságos terepkeretet ad; segít az észlelés és következtetés szétválasztásában; minőségi nyilvános produktumot kér.","Mely helyi problémát választják és milyen beavatkozást tartanak arányosnak.","Terepnapló, faj- vagy jelenséglista, térképvázlat, javaslatposzter.","4 szint: megfigyelés, kérdésminőség, helyi bizonyíték, javaslat megvalósíthatósága.","Iskolaudvar vagy fotóalapú terepanyag, ha nincs kimenetel.","C","2026-05-12 forráscsomag: EL Education; 2026-05-21 forráscsomag: Geo-Inquiry; OECD CERI","Expedíció-sablont, terepnaplót, biztonsági checklistet és matrica-kritériumokat ad.","Időjárás, engedély és terepi logisztika; beltéri adatcsomag kell tartaléknak."
